Date,Text
2019-6-13,"['', '', '', 'varta1.com.ua: Новини']"
2019-6-13,"['Цього року, у Львові має з’явитися перша партія тролейбусів з кондиціонерами у салоні.\n\nПро це, у коментарі сайту «Варта1», сказав заступник міського голови Львова з питань транспорту Андрій Білий. \n\nЗа його словами, перші одиниці електротранспорту мають з’явитися у Львові до кінця цього року.\n\nНагадаємо, що, у січні цього року, «Львівелектротранс» підписав угоду із ЄБРР на придбання 50 тролейбусів для міста. Тендер на придбання відбувся у листопаді минулого року. Переможцем став концерн СП «Електронтранс».', 'varta1.com.ua: Новини']"
2019-6-13,"['Львівський академічний театр «Воскресіння» ремонтують вже майже три роки. За цей час на ремонт витратили 1,5 мільйона гривень. \n\nПро це пише прес-служба міськради Львова.\n\nТак, за ці кошти у театрі виконо наступні роботи:\n—  встановлено нові вхідні двері і вікно;\n— встановлено нові двері у глядацькій залі;\n— відремонтовано вестибюль та закуплено нові світильники у вестибюлі;\n— покладено новий паркет у глядацькому залі;\n— зроблено поліпшене штукатурення стін, стелі, колон та балконів у глядацькому залі;\n— закуплено світильники у глядацькій залі:\n— відремонтовано колони, стелю, стіни на сцені, закуплено нові крісла для глядачів;\n— замінено покриття сцени;\n— облаштовано бетоні сходи в підвальні приміщення під сценою для майбутніх гримерних кімнат;\n— влаштовано гідроізоляцію з гідроізоляційної мембрани та зроблена бетонна стяжка в підвальних приміщеннях;\n— облаштована театральна апаратна площею 210 м²;\n— розроблено проектно-кошторисну документацiю на облаштування гримерок театру, проекту вентиляції та електропостачання у приміщенні театру.\n\n«Вся проблема була в тому, що під час грози у 2017 році не витримала водостічна система і були затоплені стелі театру. Саме з цього ми починали ремонтні роботи. До того тут дуже мало що робилось, тому театр був в досить плачевному стані. Зараз вже зроблено досить багато і театр є комфортним, гарним і чистим», — розповіла Галина Ткачук, заступниця директора театру «Воскресіння».', '', '', 'varta1.com.ua: Новини']"
2019-6-13,"['', 'Встановлено, що 58-річний, раніше судимий за корисливі злочини, місцевий мешканець вчинив, упродовж 2016–2019 років, низку нових правопорушень.', 'Злочинною діяльністю «спритник» займався у Яворові, пише прес-служба прокуратури у Львівській області. ', 'Викрадав, переважно, особисті речі, побутову техніку, будівельний інвентар, документи, гроші та скутер.', 'Погодившись із позицією місцевої прокуратури, Яворівським районним судом до зловмисника застосовано запобіжний захід, у вигляді тримання під вартою.', 'Зараз він перебуває у Львівській установі виконання покарань № 19, а правоохоронці вживають усіх заходів, спрямованих на завершення досудового розслідування.', 'За вчинене йому загрожує до 8 років позбавлення волі.', 'varta1.com.ua: Новини']"
2019-6-13,"['', 'У середу, 12-го червня, у селі Туради, що на Жидачівщині, знайшли повішеним 11-річного хлопчика Миколу.', 'У Львівській поліції підтвердили трагедію, пише видання «Львівська мануфактура новин».', 'Слідство ще триває. За попередньою версією, хлопчик вчинив самогубство.', 'У сусідньому селі Іванівці, звідки Микола родом, кажуть, що просто шоковані трагедією. Хлопчик був одинаком у сім’ї, мама мала дуже складну вагітність і робила все, щоб дитина з’явилася на світ.', '«Миколка був дуже товариський, чемний, активний, завжди з хлопцями гасав на велосипедах, був задіяний у різних гуртках. А також завжди був при церкві. І не лише в неділю, а ходив на катехизацію — не пропускав жодного разу, на «Веселі канікули з Богом». Та й сім’я — дуже порядна. Він — дуже доглянутий. Ми всі шоковані. Чула, що хлопчик начебто грав в одну з тих небезпечних ігор, щось таке як »Синій кит” чи “Момо”. У той день люди чули, як він, ніби в бабці на подвір’ї в селі Туради рахував від 12 в зворотному порядку. Але не зважили на це, бо вирішили, що дитина просто бавиться. Казали, що там і повісився, хоча чула також, що наче біля клубу», — розповідає «LMN» мешканка села Іванівці.', 'Кажуть також, що останні кілька днів хлопець постійно дзвонив кудись і з кимось розмовляв. Але він нікому нічого не розповідав, що теж дивує, бо був дуже говіркий.', 'До речі, телефон знайшли біля повішеного хлопчика. Поліція вилучила його як речовий доказ.', 'varta1.com.ua: Новини']"
2019-6-13,"['Залізничний районний суд Львова виніс вирок у справі заступника начальника одного з райвідділів ДСНС, якого викрили на хабарництві співробітники Управління СБ України у Львівській області.\n\nПро це пише прес-центр СБ України у Львівській області.\n\nНагадаємо, що підполковник цивільного захисту, у 2016 році, вимагав від бізнесмена триста доларів за непритягнення до відповідальності, через порушення правил протипожежної безпеки. Тоді оперативники спецслужби затримали здирника, під час одержання частини неправомірної вигоди, у сумі сім з половиною тисяч гривень.', '', '', 'varta1.com.ua: Новини']"
2019-6-13,"['У четвер, 13-го червня, правоохоронці провели обшуки у квартирі львівського активіста Івана Спринського.\n\nПро це, на своїй сторінці у соціальній мережі «Facebook», написав сам активіст.\n\nСпринський пов’язує обшуки з інцидентом, який стався 24-го травня, у міській раді Львова. Того дня активісти прийшли на засідання виконкому, де між ними та заступником мера Геннадієм Васьківим спалахнув конфлікт. Під час сварки, Спринський облив Васьківа фарбою. Згодом у міській раді заявили, що в результаті цього Геннадій Васьків отримав опіки обличчя. \n\n«Сьогодні, провели огляд у справі «Гуаш Спринського проти розкрадання Львова Садовим», вилучили металеві горнятка і фарби гуаш!\nP.S. Пропонував слідчому пантенол після того як він брав горнятка руками, щоб не було опіків, він відмовився — певно просто не Васьків!» — йдеться у дописі Спринського. ', '', '', 'varta1.com.ua: Новини']"
2019-6-13,"['На території Яворівської «Сірки» утилізують рештки свиней з бойні.\n\nСвітлини з місця події, у спільноті “Підслухано. НЯ«, у »Facebook"", опублікувала Оксана Сеньовська.\n\n«Ось таким чином утилізують рештки свиней з бойні, що розташована  на території »Сірки«. У таку спеку це — смертельно небезпечно! Хіба нормальна людина може так чинити»? — йдеться у дописі.', '', '', 'varta1.com.ua: Новини']"
2019-6-13,"['Вулицю Шота Руставелі у Львові, яку лише у вересні минулого року відкрили після капітального ремонту, знову почали ремонтувати.\n\nЯк розповів у коментарі журналістам видання ""Галнет"" керівник Личаківської РА Іван Лозинський, на частині вулиці через курсування великих автобусів частково просів асфальт. ', '', '', 'varta1.com.ua: Новини']"
2019-6-13,"['У четвер, 13-го червня, на площі Галицькій, у Львові, демонтували фонтан «Кульбаба».\n\nПро повідомляє кореспондент «Варта1» Володимир Садовий.', '', '', 'varta1.com.ua: Новини']"
